Unnamed: 0.1,Unnamed: 0,id,fid,h,a,date,league_id,season,h_goals,a_goals,team_h,team_a,h_xg,a_xg,h_w,h_d,h_l,league,h_shot,a_shot,h_shotOnTarget,a_shotOnTarget,h_deep,a_deep,a_ppda,h_ppda
0,0,22281,1729196,86,71,2023-08-12 16:30:00,1,2023,5,1,Newcastle United,Aston Villa,4.32208,1.486,0.8987,0.0665,0.0348,EPL,17,15,13,5,9,6,11.5714,15.0
1,0,22292,1729250,71,72,2023-08-20 13:00:00,1,2023,4,0,Aston Villa,Everton,3.24336,0.721465,0.9138,0.0655,0.0207,EPL,13,9,7,2,13,2,16.7391,17.0
2,0,22302,1729259,92,71,2023-08-27 13:00:00,1,2023,1,3,Burnley,Aston Villa,0.630605,2.83691,0.0221,0.0821,0.8958,EPL,9,16,2,6,8,9,24.3333,8.1935
3,0,21933,1729271,87,71,2023-09-03 13:00:00,1,2023,3,0,Liverpool,Aston Villa,2.73138,0.615503,0.8684,0.0998,0.0318,EPL,17,9,4,3,11,3,67.875,8.5517
4,0,21938,1729276,71,78,2023-09-16 14:00:00,1,2023,3,1,Aston Villa,Crystal Palace,2.31518,1.11696,0.6875,0.201,0.1115,EPL,16,6,5,3,14,7,9.5333,4.5484
5,0,21947,1729289,80,71,2023-09-24 13:00:00,1,2023,0,1,Chelsea,Aston Villa,1.19716,1.13479,0.3746,0.2965,0.3289,EPL,10,15,4,7,8,6,21.7692,8.84
6,0,21955,1729296,71,220,2023-09-30 11:30:00,1,2023,6,1,Aston Villa,Brighton,1.90746,1.72819,0.4133,0.2584,0.3283,EPL,19,11,9,3,15,11,4.2941,9.7273
7,0,21974,1729208,229,71,2023-10-08 13:00:00,1,2023,1,1,Wolverhampton Wanderers,Aston Villa,1.76232,1.81618,0.3672,0.2589,0.3739,EPL,8,18,3,4,3,9,14.8667,11.381
8,0,21976,1729210,71,81,2023-10-22 15:30:00,1,2023,4,1,Aston Villa,West Ham,2.34143,0.659622,0.814,0.1326,0.0534,EPL,15,14,7,4,9,4,14.4211,11.8235
9,0,21987,1729221,71,256,2023-10-29 14:00:00,1,2023,3,1,Aston Villa,Luton,3.07654,0.453117,0.9407,0.0493,0.01,EPL,17,7,6,1,15,2,24.6471,13.4
10,0,22002,1729236,249,71,2023-11-05 14:00:00,1,2023,2,0,Nottingham Forest,Aston Villa,0.592447,1.33116,0.1456,0.2983,0.5561,EPL,5,13,3,3,3,23,7.2105,27.1667
11,0,22007,1729241,71,228,2023-11-12 14:00:00,1,2023,3,1,Aston Villa,Fulham,2.86039,0.648745,0.9227,0.0642,0.0131,EPL,12,9,6,5,8,2,9.4571,16.4444
12,0,22024,1729544,82,71,2023-11-26 14:00:00,1,2023,1,2,Tottenham,Aston Villa,2.22542,2.39755,0.3333,0.2488,0.4179,EPL,18,15,8,5,18,5,18.6,9.375
13,0,22025,1729545,73,71,2023-12-03 14:00:00,1,2023,2,2,Bournemouth,Aston Villa,2.54937,0.89511,0.7928,0.144,0.0632,EPL,15,11,7,3,10,3,4.75,7.7353
14,0,22035,1729555,71,88,2023-12-06 20:15:00,1,2023,1,0,Aston Villa,Manchester City,2.1922,1.00198,0.6881,0.2247,0.0872,EPL,22,2,7,2,9,8,9.0357,13.7391
15,0,22045,1729565,71,83,2023-12-09 17:30:00,1,2023,1,0,Aston Villa,Arsenal,0.628499,1.71667,0.0978,0.2163,0.6859,EPL,10,12,3,5,3,10,5.3462,9.6207
16,0,22057,1729494,244,71,2023-12-17 14:00:00,1,2023,1,2,Brentford,Aston Villa,0.796812,1.4664,0.1774,0.2816,0.541,EPL,4,15,3,5,4,13,6.3333,5.2051
17,0,22065,1729502,71,238,2023-12-22 20:00:00,1,2023,1,1,Aston Villa,Sheffield United,1.21861,0.646159,0.5001,0.3312,0.1687,EPL,11,5,4,2,10,2,15.6364,4.3333
18,0,22082,1729519,89,71,2023-12-26 20:00:00,1,2023,3,2,Manchester United,Aston Villa,1.20104,1.83637,0.1985,0.2573,0.5442,EPL,13,10,7,4,4,12,15.2143,7.4444
19,0,22085,1729522,71,92,2023-12-30 15:00:00,1,2023,3,2,Aston Villa,Burnley,2.92587,1.11923,0.8066,0.131,0.0624,EPL,19,9,7,5,16,2,19.0714,8.3333
20,0,22098,1729447,72,71,2024-01-14 14:00:00,1,2023,0,0,Everton,Aston Villa,1.03664,1.3435,0.2719,0.3045,0.4236,EPL,10,16,2,5,3,12,7.9231,8.9444
21,0,22105,1729451,71,86,2024-01-30 20:15:00,1,2023,1,3,Aston Villa,Newcastle United,1.44485,3.3224,0.0747,0.1228,0.8025,EPL,12,14,6,5,12,10,11.0,9.3478
22,0,22124,1729470,238,71,2024-02-03 17:30:00,1,2023,0,5,Sheffield United,Aston Villa,1.52784,2.99015,0.0949,0.1699,0.7352,EPL,10,14,5,10,7,5,13.7143,24.4211
23,0,22125,1729471,71,89,2024-02-11 16:30:00,1,2023,1,2,Aston Villa,Manchester United,2.64675,2.44591,0.4367,0.2256,0.3377,EPL,23,17,10,5,10,4,11.75,11.85
24,0,22138,1729484,228,71,2024-02-17 15:00:00,1,2023,1,2,Fulham,Aston Villa,1.41796,1.57297,0.3234,0.2655,0.4111,EPL,15,12,4,3,9,2,25.0909,12.5909
25,0,22147,1729328,71,249,2024-02-24 15:00:00,1,2023,4,2,Aston Villa,Nottingham Forest,3.48861,2.25569,0.6676,0.188,0.1444,EPL,16,10,6,3,16,7,13.12,15.2667
26,0,22159,1729362,256,71,2024-03-02 17:30:00,1,2023,2,3,Luton,Aston Villa,2.43312,2.08586,0.4648,0.2474,0.2878,EPL,13,12,5,8,3,6,11.2,13.6667
27,0,22167,1729386,71,82,2024-03-10 13:00:00,1,2023,0,4,Aston Villa,Tottenham,1.23267,2.25381,0.1441,0.2079,0.648,EPL,10,9,1,5,3,9,4.2558,20.7727
28,0,22183,1729432,81,71,2024-03-17 14:00:00,1,2023,1,1,West Ham,Aston Villa,1.32829,0.911274,0.4612,0.3004,0.2384,EPL,13,13,5,5,7,17,6.7895,11.8519
29,0,22186,1729440,71,229,2024-03-30 17:30:00,1,2023,2,0,Aston Villa,Wolverhampton Wanderers,1.28271,1.66232,0.2681,0.2583,0.4736,EPL,11,13,5,3,5,5,7.6667,14.15
30,0,22204,1729355,88,71,2024-04-03 19:15:00,1,2023,4,1,Manchester City,Aston Villa,3.87704,1.18643,0.8896,0.0723,0.0381,EPL,25,8,11,3,26,4,21.7857,7.1667
31,0,22205,1729358,71,244,2024-04-06 14:00:00,1,2023,3,3,Aston Villa,Brentford,1.16333,1.42064,0.2673,0.2872,0.4455,EPL,11,8,3,3,6,3,16.5,6.7368
32,0,22216,1729391,83,71,2024-04-14 15:30:00,1,2023,0,2,Arsenal,Aston Villa,1.89003,0.929049,0.6312,0.2246,0.1442,EPL,18,11,4,2,17,2,15.2857,8.8929
33,0,22225,1729419,71,73,2024-04-21 14:00:00,1,2023,3,1,Aston Villa,Bournemouth,2.62687,2.05211,0.5185,0.2532,0.2283,EPL,14,14,4,6,19,2,12.15,12.25
38,0,22279,1729194,72,228,2023-08-12 14:00:00,1,2023,0,1,Everton,Fulham,2.59001,1.58144,0.6371,0.1989,0.164,EPL,19,9,9,2,7,6,17.4,14.8261
39,0,22299,1729261,72,229,2023-08-26 14:00:00,1,2023,0,1,Everton,Wolverhampton Wanderers,1.89792,1.40228,0.4943,0.2476,0.2581,EPL,15,11,7,2,7,4,10.2105,13.0417
40,0,21926,1729274,238,72,2023-09-02 11:30:00,1,2023,2,2,Sheffield United,Everton,1.575,2.73871,0.1261,0.2031,0.6708,EPL,13,16,8,6,5,3,8.6538,12.8
41,0,21941,1729277,72,83,2023-09-17 15:30:00,1,2023,0,1,Everton,Arsenal,0.28317,0.802605,0.112,0.414,0.474,EPL,8,13,1,4,3,10,7.0,23.7647
42,0,21949,1729286,244,72,2023-09-23 16:30:00,1,2023,1,3,Brentford,Everton,1.57402,2.51497,0.1704,0.2246,0.605,EPL,12,18,2,6,6,10,14.36,14.0
43,0,21956,1729297,72,256,2023-09-30 14:00:00,1,2023,1,2,Everton,Luton,3.65377,1.5102,0.85,0.1072,0.0428,EPL,23,9,5,2,11,1,12.5,5.6
44,0,21969,1729309,72,73,2023-10-07 14:00:00,1,2023,3,0,Everton,Bournemouth,3.16482,0.981732,0.8722,0.0938,0.034,EPL,25,11,8,4,8,13,8.6818,7.1471
